1,113132,21995,
1,113089,22000,
1,113225,21996,
2,112831,21999,
2,113279,21995,
1,113086,21993,
2,113031,22001,
1,113189,21998,
2,113020,21998,
2,113009,21993,
1,113405,21998,
1,113251,22001,
2,113013,21996,
2,113129,21996,
2,113259,21984,
1,113268,21995,
2,112968,22001,
1,112971,21997,
2,113025,21996,
2,113067,21995,
1,113004,21997,
2,113287,21987,
2,113012,21993,
1,113344,21998,
2,113071,21996,
1,113339,21996,
2,112993,21998,
2,113052,21995,
2,113336,21987,
1,112992,21997,
1,113040,21997,
2,113285,21994,
2,113049,22001,
2,113296,22000,
2,113341,21989,
2,113019,21999,
2,112886,21995,
1,113056,22001,
1,113177,21992,
1,113050,22001,
1,112875,21998,
1,112989,21991,
2,112853,21996,
1,113144,21995,
2,113042,21993,
2,112973,21998,
2,112980,21996,
2,113138,22000,
2,112953,21997,
1,113398,21996,
2,113340,22000,
2,113107,21999,
1,113200,21994,
1,113233,21997,
2,113105,21998,
2,113276,21997,
1,113390,21992,
2,112964,21991,
2,112837,21997,
2,113027,21996,
1,113407,21999,
2,112945,22000,
1,113376,21986,
1,113220,21996,
2,113016,21999,
2,113098,21998,
1,113154,21999,
1,113411,22001,
1,113156,21992,
2,112950,21994,
2,113389,21992,
2,113075,21997,
1,112990,22001,
1,113035,21999,
2,112979,22001,
2,113392,21994,
1,113053,21993,
1,113315,21997,
1,113318,21986,
1,113223,21998,
1,113152,21997,
2,112998,21998,
1,113353,21993,
2,113094,21999,
2,113046,21995,
2,113045,21999,
2,113103,21993,
2,112747,21998,
1,113291,21996,
2,112959,21997,
2,113039,21998,
2,113224,21983,
2,113217,22001,
1,113015,22000,
2,113060,21991,
2,113018,21995,
1,113232,22001,
2,113085,21994,
1,113101,21994,
2,113091,21995,
1,113403,21997,
1,113032,21998,
2,113072,21994,
2,113350,21995,
2,113076,21998,
2,113326,21984,
2,113006,21993,
1,113166,22001,
2,113005,22001,
1,113303,22001,
2,113093,22000,
1,113069,21994,
1,112949,21995,
2,113078,21992,
2,113003,21990,
2,112997,21993,
1,112987,22001,
2,113063,21994,
2,112965,21997,
1,113278,21992,
2,112952,21996,
2,112981,22001,
2,113038,22000,
1,112878,21994,
2,113157,21999,
2,113064,21994,
2,113017,21992,
2,113082,21997,
1,113057,21998,
2,112982,21994,
1,112884,21994,
1,112972,21993,
2,113289,21998,
2,113147,21993,
1,113061,21991,
1,113312,21979,
2,113110,21993,
2,113007,21994,
1,113412,22001,
1,113149,21994,
2,113252,21999,
2,113037,21993,
2,113178,21994,
2,113036,21994,
2,112976,21994,
2,113119,22001,
2,113010,21995,
1,113368,21982,
2,113058,21997,
2,112946,22000,
2,113201,22001,
1,113294,21991,
2,113022,21998,
2,112967,21992,
1,113385,21990,
2,112905,21997,
2,112975,22000,
2,113102,21998,
2,112966,21994,
2,113000,21994,
1,112991,21997,
2,113139,22000,
1,113159,21998,
1,113140,21992,
1,113070,21999,
