1,120069,31489,
1,120213,31497,
1,120005,31498,
1,120176,31501,
2,120189,31488,
2,120109,31499,
2,120054,31499,
1,120194,31489,
2,120159,31496,
1,120199,31492,
2,119917,31500,
1,119831,31494,
2,120156,31489,
2,120079,31498,
1,119688,31498,
1,119557,31500,
1,120196,31491,
2,119835,31501,
1,120195,31490,
1,120208,31496,
2,119863,31491,
2,120149,31492,
2,120127,31500,
2,120178,31484,
1,119906,31500,
1,120014,31501,
2,119859,31500,
1,120162,31498,
1,119683,31501,
2,119804,31493,
1,119538,31208,
1,119990,31495,
1,120219,31499,
1,117751,29841,
1,119718,31494,
1,119621,31496,
2,120123,31486,
1,120042,31500,
1,119741,31501,
2,120222,31501,
2,119664,31500,
1,120170,31500,
2,119874,31500,
1,119832,31494,
1,118523,30248,
2,119762,31501,
1,119730,31497,
2,119797,31500,
1,120131,31483,
2,119748,31491,
2,119918,31497,
1,119781,31501,
2,119529,31483,
2,119978,31416,
2,120047,31501,
1,119902,31497,
2,120075,31500,
2,118778,30896,
1,119986,31491,
1,119551,31491,
2,119883,31500,
1,120221,31500,
1,120204,31494,
1,119961,31486,
2,120106,31477,
2,120140,31490,
2,120110,31498,
1,120187,31487,
2,119962,31496,
2,120043,31489,
1,120063,31501,
2,120178,31484,
2,120127,31500,
2,120079,31498,
2,119804,31502,
2,118778,30896,
1,120196,31491,
2,119664,31500,
1,119781,31501,
1,120187,31487,
2,119863,31502,
1,119730,31497,
2,120075,31500,
2,119883,31500,
1,119902,31497,
2,119762,31501,
1,120063,31501,
2,120109,31499,
1,119557,31500,
1,117751,29841,
1,119961,31486,
1,118523,30248,
2,120222,31501,
2,119962,31496,
1,120131,31483,
1,120195,31490,
2,119917,31500,
1,120162,31498,
2,120054,31499,
2,120156,31489,
1,119741,31501,
2,120159,31496,
1,120170,31500,
1,120199,31492,
1,120194,31489,
1,119906,31500,
1,120221,31500,
1,120005,31498,
2,120149,31492,
2,120047,31501,
1,120213,31497,
1,120042,31500,
2,119835,31501,
2,119797,31500,
1,119718,31494,
1,119990,31495,
2,120106,31477,
1,120219,31499,
2,119874,31500,
1,119688,31498,
1,120225,31502,
1,120069,31489,
2,120123,31486,
2,120110,31498,
1,119683,31501,
1,119986,31491,
2,119748,31491,
1,120014,31501,
1,120208,31496,
1,120176,31501,
2,119978,31416,
1,119831,31494,
2,119859,31500,
1,120204,31494,
1,119538,31208,
2,119918,31497,
1,119621,31496,
2,119529,31483,
2,120140,31490,
1,119551,31502,
1,119832,31502,
1,119730,31497,
1,120005,31498,
1,120042,31500,
2,120106,31477,
1,120199,31492,
1,119688,31498,
2,120227,31503,
2,119748,31503,
1,119741,31501,
2,119917,31500,
1,119718,31503,
2,120123,31486,
1,120162,31498,
2,119874,31500,
1,120219,31499,
1,120063,31501,
2,120054,31499,
2,120159,31496,
2,120079,31498,
1,119961,31486,
2,119883,31500,
2,119859,31500,
1,119551,31502,
1,119781,31501,
1,119986,31491,
1,119906,31500,
2,120156,31489,
1,120014,31501,
2,119918,31497,
2,119978,31416,
2,120110,31498,
1,120176,31501,
1,120208,31496,
